id,cfdi_id,version,tipo_nomina,fecha_pago,fecha_inicial_pago,fecha_final_pago,num_dias_pagados,total_percepciones,total_deducciones,total_otros_pagos,created_at,updated_at
1,36,1.2,O,2025-12-22,2025-12-09,2025-12-22,14.000,4179.98,194.78,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
2,69,1.2,O,2025-12-22,2025-12-09,2025-12-22,14.000,4179.98,194.71,0.33,2026-01-15 20:59:52,2026-01-15 20:59:52
3,70,1.2,O,2025-12-22,2025-12-09,2025-12-22,14.000,5344.22,584.22,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
4,71,1.2,O,2025-12-22,2025-12-09,2025-12-22,14.000,6564.04,826.60,0.16,2026-01-15 20:59:52,2026-01-15 20:59:52
5,72,1.2,O,2025-12-22,2025-12-09,2025-12-22,14.000,3903.20,,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
6,73,1.2,O,2025-12-22,2025-12-09,2025-12-22,14.000,3903.20,673.80,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
7,74,1.2,O,2025-12-22,2025-12-09,2025-12-22,14.000,3903.20,,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
8,75,1.2,O,2025-12-22,2025-12-09,2025-12-22,14.000,5344.22,584.22,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
9,76,1.2,O,2025-12-22,2025-12-09,2025-12-22,14.000,3903.20,,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
10,77,1.2,O,2025-12-22,2025-12-09,2025-12-22,14.000,4352.88,879.12,0.04,2026-01-15 20:59:52,2026-01-15 20:59:52
11,78,1.2,O,2025-12-22,2025-12-09,2025-12-22,14.000,3903.20,,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
12,79,1.2,O,2025-12-22,2025-12-09,2025-12-22,14.000,5344.22,583.62,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
13,80,1.2,O,2025-12-22,2025-12-09,2025-12-22,14.000,3903.20,,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
14,164,1.2,O,2026-01-05,2025-12-23,2025-12-31,9.000,2687.13,265.80,0.07,2026-01-15 20:59:52,2026-01-15 20:59:52
15,165,1.2,O,2026-01-05,2026-01-01,2026-01-05,5.000,1575.20,,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
16,178,1.2,O,2026-01-05,2025-12-23,2025-12-31,9.000,2687.13,265.93,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
17,179,1.2,O,2026-01-05,2025-12-23,2025-12-31,9.000,3435.57,375.57,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
18,180,1.2,O,2026-01-05,2025-12-23,2025-12-31,9.000,4219.74,531.38,0.04,2026-01-15 20:59:52,2026-01-15 20:59:52
19,181,1.2,O,2026-01-05,2025-12-23,2025-12-31,9.000,2509.20,,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
20,182,1.2,O,2026-01-05,2025-12-23,2025-12-31,9.000,2509.20,433.00,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
21,183,1.2,O,2026-01-05,2025-12-23,2025-12-31,9.000,2509.20,,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
22,184,1.2,O,2026-01-05,2025-12-23,2025-12-31,9.000,3435.57,375.57,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
23,185,1.2,O,2026-01-05,2025-12-23,2025-12-31,9.000,2509.20,,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
24,186,1.2,O,2026-01-05,2025-12-23,2025-12-31,9.000,2798.28,705.88,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
25,187,1.2,O,2026-01-05,2025-12-23,2025-12-31,9.000,2509.20,,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
26,188,1.2,O,2026-01-05,2025-12-23,2025-12-31,9.000,3435.57,375.17,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
27,189,1.2,O,2026-01-05,2025-12-23,2025-12-31,9.000,2509.20,,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
28,191,1.2,O,2026-01-05,2026-01-01,2026-01-05,5.000,1575.20,,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
29,192,1.2,O,2026-01-05,2026-01-01,2026-01-05,5.000,1908.65,197.85,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
30,193,1.2,O,2026-01-05,2026-01-01,2026-01-05,5.000,2344.30,271.90,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
31,194,1.2,O,2026-01-05,2026-01-01,2026-01-05,5.000,1575.20,,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
32,195,1.2,O,2026-01-05,2026-01-01,2026-01-05,5.000,1575.20,248.71,0.11,2026-01-15 20:59:52,2026-01-15 20:59:52
33,196,1.2,O,2026-01-05,2026-01-01,2026-01-05,5.000,1575.20,,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
34,197,1.2,O,2026-01-05,2026-01-01,2026-01-05,5.000,1908.65,197.78,0.13,2026-01-15 20:59:52,2026-01-15 20:59:52
35,198,1.2,O,2026-01-05,2026-01-01,2026-01-05,5.000,1575.20,,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
36,199,1.2,O,2026-01-05,2026-01-01,2026-01-05,5.000,1575.20,244.20,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
37,200,1.2,O,2026-01-05,2026-01-01,2026-01-05,5.000,1575.20,,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
38,201,1.2,O,2026-01-05,2026-01-01,2026-01-05,5.000,1908.65,197.55,0.10,2026-01-15 20:59:52,2026-01-15 20:59:52
39,202,1.2,O,2026-01-05,2026-01-01,2026-01-05,5.000,1575.20,,0.00,2026-01-15 20:59:52,2026-01-15 20:59:52
