id,cfdi_pago_detalle_id,id_documento,cfdi_relacionado_id,serie,folio,moneda_dr,equivalencia_dr,num_parcialidad,imp_saldo_ant,imp_pagado,imp_saldo_insoluto,objeto_imp_dr,created_at,updated_at
1,1,3e4eb653-5931-4855-a462-edef6d7ae4b9,,CFDI,00,MXN,1.000000,1,798.99,798.99,0.00,02,2026-01-15 20:59:52,2026-01-15 20:59:52
2,2,F6CD8A27-011A-384F-AB0B-AAE1EFEDDE84,24,A,66666,MXN,1.000000,1,2922.16,2922.16,0.00,02,2026-01-15 20:59:52,2026-01-15 20:59:52
3,3,44882703-A259-4A15-A951-97DC2631524C,,,,MXN,1.000000,1,161.50,161.50,0.00,02,2026-01-15 20:59:52,2026-01-15 20:59:52
4,4,FF272F30-ACAD-4206-8825-97DC2631F139,,,,MXN,1.000000,1,1.29,1.29,0.00,02,2026-01-15 20:59:52,2026-01-15 20:59:52
5,5,414EB7B4-5C64-994B-A517-8E850B6223C7,,A,66502,MXN,1.000000,1,1752.26,1752.26,0.00,02,2026-01-15 20:59:52,2026-01-15 20:59:52
6,6,AC6C0DB1-5037-B342-B433-DFE588A5FEF1,,A,66503,MXN,1.000000,1,4602.88,4602.88,0.00,02,2026-01-15 20:59:52,2026-01-15 20:59:52
7,7,5A44D818-5B75-AE40-8770-32B704064CE6,12,A,66654,MXN,1.000000,1,3815.01,3815.01,0.00,02,2026-01-15 20:59:52,2026-01-15 20:59:52
8,8,1D52ED92-D220-8C49-BAF1-B5F353568990,13,A,66653,MXN,1.000000,1,3815.01,3815.01,0.00,02,2026-01-15 20:59:52,2026-01-15 20:59:52
9,9,9B77F870-7A39-5843-931E-620E20CE6997,14,A,66651,MXN,1.000000,1,3815.01,3815.01,0.00,02,2026-01-15 20:59:52,2026-01-15 20:59:52
10,10,D0BEFF05-B10C-5D4E-9112-526328BBE7A4,16,A,66649,MXN,1.000000,1,3815.01,3815.01,0.00,02,2026-01-15 20:59:52,2026-01-15 20:59:52
11,11,62E2C779-C750-A94C-93F0-B6A71A636AC6,17,A,66648,MXN,1.000000,1,3815.01,3815.01,0.00,02,2026-01-15 20:59:52,2026-01-15 20:59:52
12,12,B4B8AE67-6A33-E74A-BB33-76A742BE5007,18,A,66647,MXN,1.000000,1,3815.01,3815.01,0.00,02,2026-01-15 20:59:52,2026-01-15 20:59:52
13,13,C1F8D43B-A3EB-C54A-9A06-4395CEBEF1F3,15,A,66650,MXN,1.000000,1,3815.01,3815.01,0.00,02,2026-01-15 20:59:52,2026-01-15 20:59:52
14,14,99C9EBB6-DF0A-5346-9C09-DBA7FB2C9113,,A,66499,MXN,1.000000,1,5965.14,5965.14,0.00,02,2026-01-15 20:59:52,2026-01-15 20:59:52
15,15,3EDAD46E-2E3D-8440-8C89-79F2570AB262,,A,66115,MXN,1.000000,1,1356.04,1356.04,0.00,02,2026-01-15 20:59:52,2026-01-15 20:59:52
16,16,9AC689BB-3A2F-5247-A888-1109D5085EE8,89,A,66201,MXN,1.000000,1,335.24,335.24,0.00,02,2026-01-15 20:59:52,2026-01-15 20:59:52
17,17,DBB97658-378A-3644-89D8-53EAD4D863B6,,A,65693,MXN,1.000000,1,1800.00,1800.00,0.00,02,2026-01-15 20:59:52,2026-01-15 20:59:52
18,18,DA5C3F06-26F3-2E43-B3AC-C5F8A30698D1,109,A,66738,MXN,1.000000,1,4748.98,4748.98,0.00,02,2026-01-15 20:59:52,2026-01-15 20:59:52
19,19,6834B574-CDC7-DD4A-8170-F63A476D204D,19,A,66658,MXN,1.000000,1,4522.84,4522.84,0.00,02,2026-01-15 20:59:52,2026-01-15 20:59:52
20,20,4C082C20-9C26-6B44-A624-4D92455956D2,27,A,66668,MXN,1.000000,1,202327.20,202327.20,0.00,02,2026-01-15 20:59:52,2026-01-15 20:59:52
21,21,70C3F9A9-EB0A-9A44-B2DB-9084C775BDB0,,A,66022,MXN,1.000000,1,25518.84,25518.84,0.00,02,2026-01-15 20:59:52,2026-01-15 20:59:52
22,22,0B8BC2AE-BF40-5247-B3F0-016CDD5FD568,,A,66496,MXN,1.000000,1,1356.04,1356.04,0.00,02,2026-01-15 20:59:52,2026-01-15 20:59:52
23,23,1B4ACAB3-D088-7A40-97B1-141343CAC23D,122,A,66586,MXN,1.000000,1,335.24,335.24,0.00,02,2026-01-15 20:59:52,2026-01-15 20:59:52
24,24,A1350C19-0428-C14B-9B35-478E4E26156C,,A,66557,MXN,1.000000,1,15049.27,15049.27,0.00,02,2026-01-15 20:59:52,2026-01-15 20:59:52
25,25,E985CD54-AF73-1E44-8CE2-82A2DE17601B,,A,66111,MXN,1.000000,1,5255.38,5255.38,0.00,02,2026-01-15 20:59:52,2026-01-15 20:59:52
26,26,B0D2CDDE-5265-1246-9A1B-27946FE5B5B0,127,A,66776,MXN,1.000000,1,6761.87,6761.87,0.00,02,2026-01-15 20:59:52,2026-01-15 20:59:52
27,27,6EB35E2D-3B6C-A144-B4D4-FEBCA0A2CA27,,A,65255,MXN,1.000000,1,2434.84,2434.84,0.00,02,2026-01-15 20:59:52,2026-01-15 20:59:52
28,28,9823958a-2218-4f8e-ac32-edef6d7aaea0,,CFDI,00,MXN,1.000000,1,549.01,549.01,0.00,02,2026-01-15 20:59:52,2026-01-15 20:59:52
29,29,8dbb9467-8f46-47ba-b81f-edef6d7ac562,,CFDI,00,MXN,1.000000,1,798.99,798.99,0.00,02,2026-01-15 20:59:52,2026-01-15 20:59:52
30,30,E18232AD-6D6B-074F-8478-040D2572B4F8,101,A,66732,MXN,1.000000,1,3815.00,3815.00,0.00,02,2026-01-15 20:59:52,2026-01-15 20:59:52
31,31,AC8347CA-011E-7A41-ACBC-64116E17CBB9,102,A,66733,MXN,1.000000,1,3815.00,3815.00,0.00,02,2026-01-15 20:59:52,2026-01-15 20:59:52
32,32,F6E2A3E3-D35C-544C-BE4C-36126EE56BF6,149,A,66814,MXN,1.000000,1,2782.84,2782.84,0.00,02,2026-01-15 20:59:52,2026-01-15 20:59:52
33,33,99BDA54C-DA1E-6A49-A352-84BFFEE6B9E7,,A,65629,MXN,1.000000,1,20414.84,20414.84,0.00,02,2026-01-15 20:59:52,2026-01-15 20:59:52
34,34,015599DE-AE9C-1F45-A6BF-FA78CCED2604,94,A,66763,MXN,1.000000,1,1089.24,1089.24,0.00,02,2026-01-15 20:59:52,2026-01-15 20:59:52
35,35,42A1B595-76AD-2647-A80D-AB03C296C3A7,215,A,66415,MXN,1.000000,1,1089.24,1089.24,0.00,02,2026-01-15 20:59:52,2026-01-15 20:59:52
36,36,90E15DBB-08D3-E74E-9788-8F2AC32C362C,9,A,66645,MXN,1.000000,1,613.64,613.64,0.00,02,2026-01-15 20:59:52,2026-01-15 20:59:52
37,37,72AA69D6-84E7-3246-8A54-DDA84E62B364,11,A,66652,MXN,1.000000,1,22365.19,22365.19,0.00,02,2026-01-15 20:59:52,2026-01-15 20:59:52
38,38,0BFAB212-E3B2-C549-B6F0-BAC4F65C7794,,A,65865,MXN,1.000000,1,38974.84,38974.84,0.00,02,2026-01-15 20:59:52,2026-01-15 20:59:52
39,39,D6F053F8-782C-CB46-9C08-E59A238B04E4,227,A,66906,MXN,1.000000,1,1210.26,1210.26,0.00,02,2026-01-15 20:59:52,2026-01-15 20:59:52
40,40,450D077A-2F47-DC4B-9538-7ECA3A8E6FA0,253,A,66414,MXN,1.000000,1,335.24,335.24,0.00,02,2026-01-15 20:59:53,2026-01-15 20:59:53
41,41,EB2A4DDA-D2D6-C346-A70A-6E6CF523EB37,255,A,66951,MXN,1.000000,1,335.24,335.24,0.00,02,2026-01-15 20:59:53,2026-01-15 20:59:53
